repo,stars,created_at,pushed_at,age_years,days_since_last_update,merged_prs,releases,primary_language,issues_open,issues_closed,issues_total,issues_closed_ratio
casey/just,31873,2016-06-17T06:08:08Z,2026-02-16T03:02:21Z,9.72,18,1370,131,Rust,345,1006,1351,0.7446
Trinea/android-open-project,31840,2014-01-05T15:20:15Z,2025-08-02T15:31:51Z,12.16,216,204,0,None,12,75,87,0.8621
niklasvh/html2canvas,31811,2011-07-16T01:05:58Z,2024-07-18T07:26:56Z,14.64,596,186,45,TypeScript,969,1664,2633,0.632
Chanzhaoyu/chatgpt-web,31806,2023-02-09T03:21:37Z,2024-08-16T15:26:57Z,3.07,567,159,43,Vue,0,1746,1746,1.0
valinet/ExplorerPatcher,31773,2021-08-09T14:17:24Z,2025-11-03T22:06:24Z,4.57,123,19,296,C,302,2359,2661,0.8865
microsoft/MS-DOS,31763,2018-06-25T18:26:02Z,2024-04-25T22:32:47Z,7.7,680,37,0,Assembly,0,0,0,0.0
airbnb/lottie-web,31736,2015-02-20T21:02:59Z,2025-09-01T09:01:31Z,11.04,186,136,0,JavaScript,780,2128,2908,0.7318
amix/vimrc,31717,2012-05-29T16:19:29Z,2024-10-06T08:26:02Z,13.77,516,107,0,Vim Script,13,510,523,0.9751
kovidgoyal/kitty,31680,2016-10-16T14:48:28Z,2026-03-06T21:43:25Z,9.39,0,1244,132,Python,9,6654,6663,0.9986
continuedev/continue,31678,2023-05-24T03:39:39Z,2026-03-06T18:40:25Z,2.78,0,3891,803,TypeScript,1054,4508,5562,0.8105
vbenjs/vue-vben-admin,31675,2020-07-11T02:29:21Z,2026-03-06T21:32:09Z,5.65,0,1749,61,Vue,78,3822,3900,0.98
ReactiveX/rxjs,31652,2015-03-15T06:17:10Z,2025-02-23T20:54:32Z,10.98,376,2588,2,TypeScript,223,2942,3165,0.9295
ItzCrazyKns/Perplexica,31655,2024-04-09T10:51:32Z,2026-02-13T07:14:28Z,1.91,21,82,33,TypeScript,182,433,615,0.7041
facebook/rocksdb,31601,2012-11-30T06:16:18Z,2026-03-06T19:40:25Z,13.26,0,620,212,C++,851,2650,3501,0.7569
codex-team/editor.js,31592,2015-11-28T20:56:35Z,2026-03-05T21:09:08Z,10.27,1,870,107,TypeScript,603,937,1540,0.6084
ianstormtaylor/slate,31579,2016-06-18T01:52:42Z,2026-03-04T16:14:32Z,9.71,2,1980,210,TypeScript,680,2548,3228,0.7893
numpy/numpy,31568,2010-09-13T23:02:39Z,2026-03-06T14:16:54Z,15.48,0,13925,139,Python,2093,11729,13822,0.8486
shardeum/shardeum,31565,2024-04-16T22:37:25Z,2025-09-15T10:43:50Z,1.89,172,326,0,TypeScript,5,35,40,0.875
kubernetes/minikube,31559,2016-04-15T22:38:35Z,2026-03-03T01:58:45Z,9.89,3,9396,154,Go,513,9939,10452,0.9509
tinygrad/tinygrad,31500,2020-10-18T16:23:12Z,2026-03-06T21:10:59Z,5.38,0,10534,14,Python,124,959,1083,0.8855
OWASP/CheatSheetSeries,31494,2018-12-21T14:26:43Z,2026-03-06T05:34:49Z,7.21,0,1199,0,Python,50,580,630,0.9206
conductor-oss/conductor,31491,2023-12-08T06:06:09Z,2026-03-06T22:43:47Z,2.24,0,343,33,Java,101,145,246,0.5894
surrealdb/surrealdb,31458,2021-12-09T15:03:29Z,2026-03-06T22:55:19Z,4.24,0,2610,121,Rust,596,1787,2383,0.7499
TauricResearch/TradingAgents,31439,2024-12-28T03:31:08Z,2026-02-25T00:28:56Z,1.19,9,19,1,Python,163,33,196,0.1684
OpenBMB/ChatDev,31423,2023-08-28T02:18:13Z,2026-02-27T05:51:12Z,2.52,7,136,11,Python,34,269,303,0.8878
raysan5/raylib,31411,2013-10-24T15:46:04Z,2026-03-06T16:11:52Z,12.36,0,2450,24,C,0,2128,2128,1.0
tokio-rs/tokio,31383,2016-09-09T22:31:36Z,2026-03-06T21:06:29Z,9.49,0,3803,141,Rust,325,2291,2616,0.8758
Dokploy/dokploy,31371,2024-04-19T07:49:30Z,2026-03-06T17:59:32Z,1.88,0,1330,148,TypeScript,407,1257,1664,0.7554
MHSanaei/3x-ui,31364,2023-02-09T19:16:57Z,2026-03-04T17:26:53Z,3.07,2,642,102,HTML,412,2278,2690,0.8468
influxdata/influxdb,31355,2013-09-26T14:31:10Z,2026-03-05T21:13:29Z,12.44,1,10939,95,Rust,2048,12121,14169,0.8555
patchy631/ai-engineering-hub,31346,2024-10-21T10:43:24Z,2026-02-26T19:58:08Z,1.37,8,62,0,Jupyter Notebook,30,14,44,0.3182
coolsnowwolf/lede,31336,2017-09-06T07:39:03Z,2026-03-05T10:25:09Z,8.5,1,2051,7,C,819,8506,9325,0.9122
microsoft/WSL,31286,2016-04-06T17:32:56Z,2026-03-06T23:33:55Z,9.91,0,549,97,C++,919,11150,12069,0.9239
alpinejs/alpine,31279,2019-11-28T13:51:55Z,2026-02-28T14:07:46Z,6.27,6,694,146,HTML,0,613,613,1.0
microsoft/graphrag,31274,2024-03-27T17:57:52Z,2026-03-06T20:04:18Z,1.94,0,721,36,Python,30,772,802,0.9626
mathiasbynens/dotfiles,31256,2011-09-05T18:07:54Z,2024-08-05T19:06:13Z,14.5,578,44,0,Shell,138,255,393,0.6489
donnemartin/interactive-coding-challenges,31216,2015-04-28T21:36:39Z,2024-05-08T23:07:36Z,10.86,667,176,0,Python,37,32,69,0.4638
parallax/jsPDF,31167,2009-12-06T14:56:32Z,2026-03-03T12:48:54Z,16.25,3,753,41,JavaScript,104,2483,2587,0.9598
motiondivision/motion,31141,2018-11-16T09:48:38Z,2026-03-06T18:35:43Z,7.3,0,1177,0,TypeScript,197,1720,1917,0.8972
SagerNet/sing-box,31135,2022-06-30T13:27:22Z,2026-03-06T14:12:34Z,3.68,0,191,499,Go,161,2794,2955,0.9455
mqyqingfeng/Blog,31122,2017-03-13T10:04:33Z,2026-03-03T10:03:08Z,8.98,3,3,0,None,298,101,399,0.2531
DevToys-app/DevToys,31046,2021-09-29T01:40:41Z,2026-02-25T11:53:38Z,4.43,9,501,39,C#,315,664,979,0.6782
docsifyjs/docsify,31030,2016-11-20T07:55:43Z,2026-03-06T21:01:42Z,9.29,0,782,16,JavaScript,81,1230,1311,0.9382
SortableJS/Sortable,31020,2013-12-19T10:10:13Z,2026-02-11T22:31:13Z,12.21,23,248,31,JavaScript,479,1346,1825,0.7375
tqdm/tqdm,31006,2015-06-03T13:13:14Z,2026-02-14T00:27:00Z,10.76,20,289,133,Python,445,594,1039,0.5717
fabricjs/fabric.js,30984,2010-06-09T22:24:38Z,2026-03-06T14:45:31Z,15.74,0,2429,181,TypeScript,424,5781,6205,0.9317
